Sample_ID,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
HUMO848_S42_R1_001amrf_output,NA,NODE_433_length_13165_cov_15.872082,7016,7486,-,dfrA1,trimethoprim-resistant dihydrofolate reductase DfrA1,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,157,157,100,100,157,WP_000777555.1,trimethoprim-resistant dihydrofolate reductase DfrA1,NA,NA
HUMO848_S42_R1_001amrf_output,NA,NODE_433_length_13165_cov_15.872082,8736,9569,-,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
HUMO848_S42_R1_001amrf_output,NA,NODE_433_length_13165_cov_15.872082,9572,10396,-,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,275,275,100,100,275,WP_109545041.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
HUMO848_S42_R1_001amrf_output,NA,NODE_433_length_13165_cov_15.872082,10436,11248,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043265.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
HUMO848_S42_R1_001amrf_output,NA,NODE_47_length_41657_cov_26.713091,39700,41616,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.37,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO848_S42_R1_001amrf_output,NA,NODE_7204_length_2005_cov_17.649744,81,1997,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO848_S42_R1_001amrf_output,NA,NODE_7661_length_1916_cov_18.242516,538,1395,-,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUMO848_S42_R1_001amrf_output,NA,NODE_8018_length_1853_cov_6.027809,82,1851,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,590,639,92.33,100,590,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO848_S42_R1_001amrf_output,NA,NODE_821_length_9157_cov_19.464184,8237,9157,-,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,307,321,95.64,100,307,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUMO854_S44_R1_001amrf_output,NA,NODE_10449_length_1602_cov_3.559147,217,1434,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,406,406,100,99.51,406,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO854_S44_R1_001amrf_output,NA,NODE_27161_length_812_cov_4.961691,126,593,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,BLASTX,156,164,95.12,100,156,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO854_S44_R1_001amrf_output,NA,NODE_3939_length_3151_cov_14.405362,903,2819,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.69,639,WP_012669445.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO854_S44_R1_001amrf_output,NA,NODE_6974_length_2107_cov_33.777290,71,1987,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO854_S44_R1_001amrf_output,NA,NODE_750_length_9472_cov_7.467771,8631,9470,-,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,280,321,87.23,99.64,280,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUMO854_S44_R1_001amrf_output,NA,NODE_9824_length_1671_cov_119.665223,2,1648,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,549,641,85.65,99.09,549,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO865_S46_R1_001amrf_output,NA,NODE_13326_length_1669_cov_7.283767,385,1602,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,406,406,100,99.51,406,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO865_S46_R1_001amrf_output,NA,NODE_13390_length_1665_cov_2.447826,1130,1621,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO865_S46_R1_001amrf_output,NA,NODE_14287_length_1595_cov_184.539610,3,1595,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,531,641,82.84,99.62,531,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO865_S46_R1_001amrf_output,NA,NODE_4453_length_3258_cov_43.042148,146,2062,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO865_S46_R1_001amrf_output,NA,NODE_641_length_10801_cov_15.155965,9785,10744,-,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUMO865_S46_R1_001amrf_output,NA,NODE_8375_length_2227_cov_29.787293,42,1958,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,98.9,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO865_S46_R1_001amrf_output,NA,NODE_8469_length_2211_cov_69.429963,287,2203,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_10661_length_1668_cov_363.684439,1,1668,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,556,641,86.74,98.74,556,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_1116_length_7523_cov_17.512051,3,1802,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,600,639,93.9,99.83,600,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_113097_length_347_cov_1.914384,2,346,-,catA13,type A-13 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIAL_CONTIG_ENDX,115,207,55.56,100,115,WP_043774378.1,type A-13 chloramphenicol O-acetyltransferase,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_11407_length_1588_cov_44.920417,2,1588,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,529,639,82.79,100,529,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_14421_length_1345_cov_3.962791,635,1345,+,aadE,aminoglycoside 6-adenylyltransferase AadE,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,237,288,82.29,99.58,237,WP_001255868.1,aminoglycoside 6-adenylyltransferase AadE,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_2397_length_4643_cov_13.426112,3581,4642,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,354,406,87.19,99.72,354,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_24505_length_932_cov_4.671608,1,660,-,tet(A),tetracycline efflux MFS transporter Tet(A),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,220,399,55.14,100,220,WP_000804063.1,tetracycline efflux MFS transporter Tet(A),NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_2599_length_4390_cov_4.482814,15,359,-,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_2599_length_4390_cov_4.482814,526,1314,-,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,BLASTX,263,263,100,96.2,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_2599_length_4390_cov_4.482814,1419,1889,-,dfrA15,trimethoprim-resistant dihydrofolate reductase DfrA15,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,157,157,100,100,157,WP_001355915.1,trimethoprim-resistant dihydrofolate reductase DfrA15,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_3282_length_3746_cov_5.532918,291,782,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_5793_length_2540_cov_43.983903,1530,2489,-,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_61356_length_505_cov_4.588889,1,504,-,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,PARTIAL_CONTIG_ENDX,168,279,60.22,100,168,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_61_length_44018_cov_195.746810,10965,11777,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_61_length_44018_cov_195.746810,11817,12368,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,184,275,66.91,100,184,WP_109545041.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_61_length_44018_cov_195.746810,12389,12859,+,dfrA14,trimethoprim-resistant dihydrofolate reductase DfrA14,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,157,157,100,100,157,WP_021529707.1,trimethoprim-resistant dihydrofolate reductase DfrA14,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_61_length_44018_cov_195.746810,13212,14045,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_61_length_44018_cov_195.746810,14898,15755,-,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_6858_length_2268_cov_6.628559,100,2016,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.22,639,WP_050232631.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUMO887_S48_R1_001amrf_output,NA,NODE_75068_length_445_cov_3.030769,1,444,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,MACROLIDE,MACROLIDE,PARTIAL_CONTIG_ENDX,148,245,60.41,100,148,WP_001038795.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),NA,NA
HUMO899_S52_R1_001amrf_output,NA,NODE_12367_length_1488_cov_34.017446,270,1487,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,406,639,63.54,98.77,406,WP_000691759.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO899_S52_R1_001amrf_output,NA,NODE_1410_length_6013_cov_14.280631,3344,4423,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.61,360,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO899_S52_R1_001amrf_output,NA,NODE_154_length_20451_cov_19.115758,14864,16786,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,641,641,100,98.6,641,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO899_S52_R1_001amrf_output,NA,NODE_16349_length_1241_cov_27.923272,3,1160,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,386,639,60.41,100,386,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO899_S52_R1_001amrf_output,NA,NODE_16772_length_1220_cov_5.641202,299,1219,-,cfxA3,extended-spectrum class A beta-lactamase CfxA3,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,307,321,95.64,100,307,WP_004348227.1,extended-spectrum class A beta-lactamase CfxA3,NA,NA
HUMO899_S52_R1_001amrf_output,NA,NODE_21308_length_1039_cov_4.583333,44,1003,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.69,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUMO899_S52_R1_001amrf_output,NA,NODE_47117_length_628_cov_2.172775,1,627,-,aadE,aminoglycoside 6-adenylyltransferase AadE,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,209,288,72.57,100,209,WP_001255868.1,aminoglycoside 6-adenylyltransferase AadE,NA,NA
HUMO899_S52_R1_001amrf_output,NA,NODE_5384_length_2548_cov_8.248295,1707,2198,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO899_S52_R1_001amrf_output,NA,NODE_8541_length_1878_cov_31.197477,81,1877,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,599,639,93.74,100,599,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO902_S50_R1_001amrf_output,NA,NODE_12345_length_1572_cov_74.804878,1,1572,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,524,641,81.75,98.66,524,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO902_S50_R1_001amrf_output,NA,NODE_1788_length_6478_cov_19.186829,3762,5678,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.53,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO902_S50_R1_001amrf_output,NA,NODE_20015_length_1054_cov_32.557558,38,997,-,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.69,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUMO902_S50_R1_001amrf_output,NA,NODE_21305_length_1002_cov_4.385428,2,1000,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,333,406,82.02,99.1,333,WP_009247026.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO902_S50_R1_001amrf_output,NA,NODE_35998_length_654_cov_32.250417,104,595,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO902_S50_R1_001amrf_output,NA,NODE_6523_length_2592_cov_5.667718,1,1005,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,335,639,52.43,99.7,335,WP_063856393.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUMO902_S50_R1_001amrf_output,NA,NODE_675_length_11430_cov_31.372484,8288,9250,-,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,321,321,100,99.69,321,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUMO902_S50_R1_001amrf_output,NA,NODE_750_length_10880_cov_20.778845,136,2052,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
LMR0008_S47_R1_001amrf_output,NA,NODE_1772_length_5390_cov_12.763824,3384,4028,+,catA,type A-7 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,215,215,100,100,215,WP_002489529.1,type A-7 chloramphenicol O-acetyltransferase,NA,NA
LMR0008_S47_R1_001amrf_output,NA,NODE_3312_length_3385_cov_11.143544,330,824,+,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,165,165,100,100,165,WP_000868795.1,trimethoprim-resistant dihydrofolate reductase DfrG,NA,NA
LMR0008_S47_R1_001amrf_output,NA,NODE_6510_length_2113_cov_25.002915,623,1999,+,tet(K),tetracycline efflux MFS transporter Tet(K),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,459,459,100,100,459,WP_000492283.1,tetracycline efflux MFS transporter Tet(K),NA,NA
LMR0009_S31_R1_001amrf_output,NA,NODE_1755_length_3444_cov_13.403364,2581,3075,-,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,165,165,100,100,165,WP_000868795.1,trimethoprim-resistant dihydrofolate reductase DfrG,NA,NA
LMR0009_S31_R1_001amrf_output,NA,NODE_18_length_69402_cov_472.756183,6016,6912,-,mph(C),Mph(C) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,MACROLIDE,BLASTX,299,299,100,97.32,299,WP_063854137.1,Mph(C) family macrolide 2'-phosphotransferase,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_12038_length_1809_cov_8.374002,3,740,-,tet(39),tetracycline efflux MFS transporter Tet(39),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,246,395,62.28,100,246,WP_004856455.1,tetracycline efflux MFS transporter Tet(39),NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_13213_length_1652_cov_62.711334,2,478,-,catA,type A-8 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIAL_CONTIG_ENDX,159,215,73.95,100,159,WP_002352254.1,type A-8 chloramphenicol O-acetyltransferase,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_17122_length_1279_cov_4.683824,1,450,+,dfrG,trimethoprim-resistant dihydrofolate reductase DfrG,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,BLASTX,150,165,90.91,100,150,WP_000868795.1,trimethoprim-resistant dihydrofolate reductase DfrG,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_19269_length_1142_cov_31.223551,586,1002,-,fosD,fosfomycin resistance bacillithiol transferase FosD,core,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,EXACTX,139,139,100,100,139,WP_000616116.1,fosfomycin resistance bacillithiol transferase FosD,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_21234_length_1043_cov_21.750000,192,1043,+,mph(C),Mph(C) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,MACROLIDE,BLASTX,284,299,94.98,91.9,284,WP_000196697.1,Mph(C) family macrolide 2'-phosphotransferase,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_2279_length_7079_cov_24.371441,2844,3488,-,catA,type A-8 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,215,215,100,100,215,WP_000143686.1,type A-8 chloramphenicol O-acetyltransferase,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_267309_length_263_cov_2.283654,67,261,+,qacE,quaternary ammonium compound efflux SMR transporter QacE,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,PARTIAL_CONTIG_ENDX,65,115,56.52,100,65,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_3181_length_5640_cov_28.988183,92,937,-,str,streptomycin adenylyltransferase Str,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,282,282,100,100,282,WP_001258486.1,streptomycin adenylyltransferase Str,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_3181_length_5640_cov_28.988183,4489,5334,-,str,streptomycin adenylyltransferase Str,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,BLASTX,282,282,100,98.94,282,WP_010711054.1,streptomycin adenylyltransferase Str,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_3980_length_4873_cov_20.182026,1912,2808,-,mph(C),Mph(C) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,MACROLIDE,BLASTX,299,299,100,92.98,299,WP_063853881.1,Mph(C) family macrolide 2'-phosphotransferase,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_44369_length_597_cov_3.549815,3,473,-,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,157,281,55.87,100,157,WP_000733283.1,BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_44783_length_594_cov_2.131725,3,593,-,blaOXA,class D beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,197,275,71.64,100,197,WP_231869629.1,class D beta-lactamase OXA-1006,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_5483_length_3789_cov_18.777718,255,740,-,dfrD,trimethoprim-resistant dihydrofolate reductase DfrD,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,162,162,100,100,162,WP_063844481.1,trimethoprim-resistant dihydrofolate reductase DfrD,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_68065_length_467_cov_3.160194,3,443,+,blaOXA,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,147,276,53.26,99.32,147,WP_004728961.1,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-282,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_7640_length_2842_cov_8.472192,835,1656,-,blaOXA,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,274,274,100,98.18,274,WP_140423313.1,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-644,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_8194_length_2656_cov_21.657439,2056,2655,-,mph(C),Mph(C) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,MACROLIDE,PARTIAL_CONTIG_ENDX,200,299,66.89,91.5,200,WP_063853881.1,Mph(C) family macrolide 2'-phosphotransferase,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_90459_length_406_cov_5.700855,129,404,+,blaI,penicillinase repressor BlaI,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,92,126,73.02,100,92,WP_001284656.1,penicillinase repressor BlaI,NA,NA
LMR0011_S49_R1_001amrf_output,NA,NODE_9950_length_2196_cov_270.893975,186,1562,-,tet(K),tetracycline efflux MFS transporter Tet(K),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,459,459,100,100,459,WP_000492283.1,tetracycline efflux MFS transporter Tet(K),NA,NA
